Time,"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
529,-6.169418,-3.882843,-0.5,1.008604,-0.004293157,-8.073785e-18,0.5309305
529,-6.037329,-3.882843,-0.5,1.009507,-0.004685057,9.783237e-18,0.5300397
529,-5.905241,-3.882843,-0.5,1.010493,-0.005111741,1.152728e-17,0.5290631
529,-5.773151,-3.882843,-0.5,1.01157,-0.005576077,-2.315009e-18,0.5279928
529,-5.641062,-3.882843,-0.5,1.012746,-0.006081106,8.474092e-33,0.5268204
529,-5.508973,-3.882843,-0.5,1.014028,-0.006630037,-2.00654e-20,0.5255363
529,-5.376884,-3.882843,-0.5,1.015428,-0.007226249,-6.162976e-33,0.5241305
529,-5.244795,-3.882843,-0.5,1.016955,-0.007873273,-3.05906e-20,0.522592
529,-5.112706,-3.882843,-0.5,1.018619,-0.008574788,7.906656e-18,0.5209088
529,-4.980617,-3.882843,-0.5,1.020434,-0.009334596,-3.96408e-18,0.5190678
529,-4.848528,-3.882843,-0.5,1.022412,-0.01015659,-7.906656e-18,0.517055
529,-4.716439,-3.882843,-0.5,1.024566,-0.01104473,3.898494e-18,0.5148553
529,-4.58435,-3.882843,-0.5,1.02691,-0.01200298,3.878168e-18,0.512452
529,-4.452261,-3.882843,-0.5,1.029462,-0.01303528,-3.898494e-18,0.5098276
529,-4.320172,-3.882843,-0.5,1.032236,-0.01414541,-3.878168e-18,0.506963
529,-4.188083,-3.882843,-0.5,1.035251,-0.015337,-2.696302e-33,0.5038378
529,-4.055994,-3.882843,-0.5,1.038524,-0.01661331,1.888403e-18,0.5004302
